asn;country
30039;United States
263360;Brazil
63852;Myanmar
22809;United States
61787;Brazil
205836;Spain
28785;Poland
399244;United States
17237;United States
61751;Brazil
394344;United States
199787;Poland
213186;Netherlands
7961;United States
23694;Indonesia
10662;United States
267787;Ecuador
48391;Iran
268268;Brazil
52594;Brazil
26810;United States
55446;India
328777;South Africa
268773;Brazil
207304;Iraq
51495;Turkmenistan
14153;United States
7063;Brazil
47335;Russian Federation
64261;United States
37571;Congo
395924;United States
266556;Brazil
59355;Afghanistan
17739;China
52721;Brazil
134505;Bangladesh
50858;France
212523;Poland
141159;Hong Kong
207236;Hungary
37460;Central African Republic
43108;United Kingdom
141612;Indonesia
64236;United States
268166;Brazil
271215;Brazil
60941;Netherlands
394737;United States
204810;Spain
47202;Portugal
399439;United States
268994;Brazil
29998;United States
10405;United States
133196;Australia
139071;Myanmar
263965;Brazil
134518;Hong Kong
6932;United States
42871;Austria
395658;United States
262444;Brazil
201041;Ukraine
35614;Ukraine
205537;Spain
138684;Myanmar
270549;Brazil
267443;Brazil
41054;Saudi Arabia
271069;Brazil
263799;Suriname
134201;Bangladesh
42894;Netherlands
138363;Australia
142056;Philippines
396965;United States
35705;Netherlands
39485;Ireland
141595;Indonesia
211528;Poland
1477;United States
265836;Argentina
61759;Brazil
53633;United States
62701;United States
266096;Brazil
50984;Romania
52570;Brazil
202454;United Kingdom
27602;United States
31763;United States
135249;India
213094;United Kingdom
265794;Peru
263192;Paraguay
33353;United States
202543;Bulgaria
202796;Netherlands
211413;Iraq
23031;Ecuador
211641;Russian Federation
268140;Brazil
267988;Brazil
19990;Brazil
270991;Brazil
140716;China
264163;Brazil
132602;Bangladesh
268024;Brazil
53830;United States
53974;United States
64477;Poland
61928;Brazil
58305;United Kingdom
52680;Brazil
1472;United States
134147;Australia
266986;Brazil
271898;Dominican Republic
203038;Sweden
56131;Australia
267384;Brazil
22363;United States
266920;Brazil
141660;Indonesia
14976;United States
64420;Italy
138069;Indonesia
60456;France
47389;Ukraine
38030;Bangladesh
211637;Russian Federation
9575;South Korea
61403;Russian Federation
61985;Russian Federation
137313;Indonesia
208939;Spain
55664;Indonesia
266641;Brazil
138665;Bangladesh
4604;United States
53076;Brazil
137335;Indonesia
397756;United States
262692;Brazil
37010;Rwanda
8762;Greece
21143;Russian Federation
9810;China
270701;Brazil
208014;France
56786;Italy
141626;Indonesia
136315;India
37477;Mozambique
53752;United States
63782;Japan
136672;India
266665;Costa Rica
140770;Viet Nam
27981;Argentina
141146;Indonesia
28273;Brazil
327997;Kenya
269998;Chile
38985;Russian Federation
264223;Brazil
206066;Russian Federation
265162;Brazil
203212;Spain
209442;Albania
268999;Brazil
36456;United States
140954;Bangladesh
59674;Turkey
269387;Brazil
31642;Sweden
59414;Switzerland
62818;United States
137703;Bangladesh
28262;Brazil
61049;United Kingdom
27232;Canada
139595;Myanmar
132581;Australia
134416;Philippines
137116;India
135227;India
264533;Brazil
59632;Romania
328121;Cote d'Ivoire
64488;Slovakia
44627;Russian Federation
26925;United States
21603;Mexico
52454;Guatemala
1301;France
266811;Panama
269439;Brazil
41696;Netherlands
52777;Brazil
50910;United Kingdom
16508;United States
60705;Poland
142060;Bangladesh
209604;Turkey
55257;United States
23852;China
395677;Canada
59562;Norway
52700;Brazil
328842;Ghana
25619;United States
41841;Poland
132991;India
11155;United States
48953;Turkey
27027;United States
30064;United States
206100;United States
47799;Ukraine
41388;Russian Federation
33629;United States
267779;Argentina
267522;Brazil
132153;China
58952;Myanmar
17720;Australia
138262;India
267284;Brazil
270704;Brazil
26971;United States
266105;Brazil
17668;Australia
265702;Argentina
265995;Brazil
64227;United States
270088;Colombia
40764;United States
212999;Kazakhstan
36231;United States
52797;Brazil
394167;United States
135030;Bangladesh
59961;Iran
328544;South Africa
203667;Poland
50757;Romania
64298;Indonesia
131950;Japan
266679;Ecuador
267386;Brazil
395471;Puerto Rico
21226;Russian Federation
328444;South Africa
270084;Ecuador
30043;United States
328601;Congo
137073;Australia
263509;Brazil
131705;Indonesia
328757;Botswana
16996;United States
137985;Bangladesh
267048;Brazil
196640;Malta
264690;Bolivia
199221;Bulgaria
59908;Spain
269340;Brazil
61306;Russian Federation
4284;United States
134542;China
139657;Thailand
263981;Brazil
21680;United States
51139;Italy
140766;Viet Nam
132124;Sri Lanka
46826;United States
47808;Russian Federation
41307;Germany
265614;Mexico
328350;South Africa
56814;Russian Federation
132464;Philippines
212285;Turkey
39884;United Kingdom
266928;Brazil
44996;Ukraine
63112;United States
266024;Brazil
268664;Brazil
138663;Malaysia
30003;Canada
213387;Czech Republic
205917;United Kingdom
399693;United States
395148;United States
204704;Germany
36667;United States
52978;Brazil
64478;Belgium
267792;Argentina
14890;United States
137144;India
266777;Argentina
64200;United States
197630;Poland
38587;China
264585;Brazil
269531;Brazil
37531;Niger
60711;Spain
44733;Russian Federation
52441;Chile
197357;Moldova
270598;Brazil
268788;Brazil
200695;Spain
61854;Brazil
132160;Australia
138575;Bangladesh
38688;South Korea
34538;Romania
199363;Poland
265906;Brazil
200565;Ireland
57591;France
209954;Russian Federation
28664;Brazil
138551;Bangladesh
328460;Mozambique
138838;Indonesia
268245;Brazil
197333;Russian Federation
208592;Tajikistan
265774;Argentina
139432;Indonesia
4493;Mexico
34927;Switzerland
212945;Turkey
328324;Nigeria
29423;Germany
132161;New Zealand
199738;Spain
41009;Ukraine
20014;United States
263519;Brazil
263524;Brazil
262473;Brazil
300;United States
263236;Argentina
270979;Brazil
328659;Ghana
270795;Brazil
10357;United States
132516;India
32840;United States
137278;Bangladesh
59416;Russian Federation
267054;Brazil
141246;India
13153;Greece
6012;United States
206621;Ukraine
211608;Ukraine
266433;Brazil
268332;Brazil
53684;United States
207992;France
64052;Bangladesh
266468;Brazil
213222;Iran
135149;Myanmar
140875;Hong Kong
134084;Bangladesh
269470;Brazil
9515;Philippines
205456;Spain
328779;Nigeria
206661;Russian Federation
35499;Greece
38536;India
201933;United Kingdom
267365;Brazil
212586;Germany
4876;Canada
63430;United States
397570;Canada
212571;Ukraine
210318;Lebanon
208913;United States
141928;Indonesia
206657;Spain
43991;Russian Federation
63238;United States
60305;Germany
203421;United Kingdom
262360;Brazil
28249;Brazil
199235;Hungary
61484;Argentina
211702;Italy
48021;Poland
264504;Brazil
399065;United States
269249;Brazil
19386;United States
132634;Indonesia
209740;Germany
269557;Brazil
11872;United States
270483;Brazil
327708;Rwanda
61490;Argentina
201401;Netherlands
38127;South Korea
202999;Russian Federation
266389;Brazil
393298;United States
31158;Ukraine
16111;Switzerland
9751;American Samoa
46822;United States
270884;Brazil
132013;Thailand
263983;Brazil
135901;Viet Nam
30337;United States
267419;Brazil
55407;Thailand
57091;Russian Federation
397795;United States
19356;United States
12417;Croatia
207825;Sweden
269361;Brazil
136618;Bangladesh
205575;Spain
270702;Brazil
52475;Argentina
11080;United States
23878;New Zealand
141201;Malaysia
27555;United States
7098;United States
213167;Netherlands
139335;Bangladesh
212570;Poland
23747;Australia
9948;South Korea
136454;Afghanistan
268355;Brazil
139036;Bangladesh
47533;Russian Federation
135000;Bangladesh
1818;United States
131601;Taiwan
38460;Philippines
268225;Brazil
62893;United States
51262;Switzerland
51628;Russian Federation
37384;Angola
60807;Spain
264204;Brazil
198514;Finland
15178;United States
21525;United States
131358;Viet Nam
212431;Ukraine
269310;Brazil
262661;Brazil
59189;India
268214;Brazil
269921;Dominican Republic
59137;Indonesia
213267;Russian Federation
134983;Bangladesh
263778;Argentina
54889;Canada
395346;United States
264078;Brazil
64303;Indonesia
140223;Timor-Leste
27502;United States
64099;Argentina
4718;Japan
208340;Germany
269868;Dominican Republic
42269;Czech Republic
264927;Brazil
10965;Canada
271909;Venezuela
211686;United Kingdom
46229;United States
140158;India
268720;Brazil
270041;Argentina
41338;Russian Federation
328676;Tanzania
199612;Slovenia
131791;South Korea
63427;United States
271270;Brazil
270897;Brazil
8030;United States
398406;United States
142271;Philippines
52477;Argentina
61869;Brazil
139761;Malaysia
25979;United States
209666;Russian Federation
51794;Ukraine
40063;United States
268576;Brazil
264663;Belize
264868;Brazil
267847;Argentina
267637;Brazil
264278;Brazil
2504;Australia
267990;Brazil
270813;Brazil
32045;United States
267268;Brazil
47210;Russian Federation
47684;Russian Federation
64249;United States
1678;United States
399378;United States
394140;United States
42553;Denmark
28093;Argentina
23131;United States
134918;India
136624;Thailand
263914;Brazil
206706;Iraq
265965;Brazil
29447;France
206217;Iran
211332;Ukraine
21659;Canada
203386;France
136087;Indonesia
50475;Kuwait
269578;Brazil
264750;Dominican Republic
28519;Mexico
394845;United States
133950;New Zealand
40628;United States
37212;Ghana
28322;Brazil
25752;United States
11318;United States
205207;Iran
399195;United States
212241;Belgium
268840;Brazil
62004;Russian Federation
30830;Netherlands
270080;Bolivia
50276;Russian Federation
2903;United States
268042;Brazil
64281;United States
138988;Australia
64411;Spain
35602;Ukraine
134287;India
138084;Indonesia
202020;United Kingdom
